Owner	Project	Title	Link	Fix Link	Stars	TF-IDFs	Size	Datetime	Arrow	Pendulum	Category 1	Category 2	Erroneous Computation 1	Erroneous Computation 2	Erroneous Computation 3	Obscurity	Impact	# LOC	Logic Needed	Bug Pattern 1	Bug Pattern 2	Bug Pattern 3
python-poetry	tomlkit	datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12	https://github.com/python-poetry/tomlkit/issues/297	https://github.com/python-poetry/tomlkit/commit/3a99b5ba982ae80d7f5ba93805165780c8e326d8	643.0	1.312623494	1001.0	1.0	0.0	0.0	Other		Datetime (Construction)			Low	Low	Low	Low	Outdated/Deprecated APIs		
frictionlessdata	frictionless-py	SpssParser ignores timezones	https://github.com/frictionlessdata/frictionless-py/issues/1212	https://github.com/frictionlessdata/frictionless-py/pull/1431	683.0	1.270076663	1279.0	1.0	0.0	0.0	Time Zone	String Representation	Datetime (Construction)	String Handling		Low	Medium	Medium	High	Dropping Time Zone Information		
sdispater	pendulum	Deepcopy of Month-based Duration produces a different duration	https://github.com/sdispater/pendulum/issues/714	https://github.com/sdispater/pendulum/commit/9590c651c5c5ff3bec064abc7aaf270c0c6f5cee	6109.0	1.191295129	1014.0	1.0	0.0	1.0	Duration	Calendar Date	Time Delta			Medium	Medium	Medium	Low	Unintuitive Arithmetic		
googleapis	python-storage	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcnow() is deprecated`	https://github.com/googleapis/python-storage/issues/1194	https://github.com/googleapis/python-storage/commit/dbe4bb1e7b80720943197410566b8bd28e2c1b4e	420.0	1.17635061	10349.0	1.0	0.0	0.0	Other		Datetime (Arithmetic)			Low	Low	Low	Low	Outdated/Deprecated APIs		
googleapis	python-logging	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcfromtimestamp() is deprecated`	https://github.com/googleapis/python-logging/issues/818	https://github.com/googleapis/python-logging/pull/824	119.0	1.167279177	2673.0	1.0	0.0	0.0	Other		Datetime (Construction)			Low	Low	Low	Low	Outdated/Deprecated APIs		
pydantic	pydantic-extra-types	Pendulum `DateTime` wrapper losing `tz` and `timezone` values in 2.8.1	https://github.com/pydantic/pydantic-extra-types/issues/188	https://github.com/PrefectHQ/prefect/commit/641c025e5ba5f76df8632226cc81ebadd67317b1	153.0	1.100985305	1193.0	1.0	0.0	1.0	Time Zone		Datetime (Arithmetic)			Medium	Low	Low	Low	Using Naïve Datetime Incorrectly	Dropping Time Zone Information	
moinwiki	moin	datetime.utcfromtimestamp() and .utcnow() are deprecated	https://github.com/moinwiki/moin/issues/1675	https://github.com/moinwiki/moin/pull/1677	287.0	1.08921495	1081.0	1.0	0.0	0.0	Other		Datetime (Construction)			Low	Low	Medium	Low	Outdated/Deprecated APIs		
feast-dev	feast	Retire/update the datetime.utcnow() function	https://github.com/feast-dev/feast/issues/4240	https://github.com/feast-dev/feast/pull/4305	5330.0	1.03551409	1124.0	1.0	0.0	0.0	Other		Time Delta	Datetime (Construction)	Time Delta	Low	Low	Medium	Low	Outdated/Deprecated APIs		
sdispater	pendulum	Default timezone isn't utc?	https://github.com/sdispater/pendulum/issues/171	https://github.com/sdispater/pendulum/pull/172	6109.0	1.024292861	3201.0	1.0	0.0	1.0	Other		Datetime (Construction)			Low	Low	Low	Low	Outdated/Deprecated APIs		
googleapis	google-cloud-python	gcloud.datastore.helpers.get_value_from_protobuf() returns naive datetimes	https://github.com/googleapis/google-cloud-python/issues/131	https://github.com/googleapis/google-cloud-python/pull/181	4704.0	1.016552945	1231.0	1.0	0.0	0.0	Time Zone	String Representation	String Handling	Datetime (Construction)		Medium	Medium	Low	Low	Using Naïve Datetime Incorrectly	Dropping Time Zone Information	
