Rater	Skipped?	False pos?	Owner	Project	Title	Link	Fix Link	Stars	TF-IDFs	Size	Datetime	Arrow	Pendulum	Category 1	Category 2	Erroneous Computation 1	Erroneous Computation 2	Erroneous Computation 3	Obscurity	Impact	# LOC	Logic Needed	Bug Pattern 1	Bug Pattern 2	Bug Pattern 3
5: Peter Sasha	False	False	frictionlessdata	frictionless-py	SpssParser ignores timezones	https://github.com/frictionlessdata/frictionless-py/issues/1212	https://github.com/frictionlessdata/frictionless-py/pull/1431	683.0	1.270076663	1279.0	1.0	0.0	0.0	Timezone	String Representation	Datetime Construction	String Parsing/Formatting (data)		Medium	Low	Medium	Medium	Dropping Timezones		
2: Shrey Serena	False	False	googleapis	python-storage	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcnow() is deprecated`	https://github.com/googleapis/python-storage/issues/1194	https://github.com/googleapis/python-storage/commit/dbe4bb1e7b80720943197410566b8bd28e2c1b4e	420.0	1.17635061	10349.0	1.0	0.0	0.0	Timezone		Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
3: Shrey Sasha	False	True	sdispater	pendulum	DateTime.add(duration)	https://github.com/sdispater/pendulum/issues/323	https://github.com/gridsingularity/gsy-e/pull/1463	6109.0	0.9960230505	1694.0	1.0	0.0	1.0												
2: Shrey Serena	False	False	Bears-R-Us	arkouda	datetime columns in dataframe display bug	https://github.com/Bears-R-Us/arkouda/issues/2596	https://github.com/stress-tess/arkouda/commit/e7eb559ba6de05c33859804b552bc016e964e76c	228.0	0.9473247674	3315.0	1.0	0.0	0.0	Timestamps		Datetime Construction			Medium	Low	Low	Low	Incorrect API usage		
5: Peter Sasha	False	False	dateutil	dateutil	last day of the month is wrong??	https://github.com/dateutil/dateutil/issues/1167	https://github.com/dateutil/dateutil/pull/1168	2266.0	0.9356910032	1093.0	1.0	0.0	0.0	Date		Datetime Arithmetic			Low	Low	Medium	Medium	Unintuitive Arithmetic		
3: Shrey Sasha	False	False	mverleg	pyjson_tricks	Ambiguous timezone info in datetime	https://github.com/mverleg/pyjson_tricks/issues/89	https://github.com/mverleg/pyjson_tricks/commit/b3e0b9e682a81b6d6e327cd114a85e70d697441c	154.0	0.8708167515	1400.0	1.0	0.0	0.0	DST	Timezone	Datetime Construction			High	Medium	Medium	Low	Creating time in unspecified fold		
6: Serena Sasha	False	False	timvink	mkdocs-git-revision-date-localized-plugin	DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/issues/121	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/commit/4bf713aaa410ce8a79572545129656b59cc8f5bc	177.0	0.8354575386	1285.0	1.0	0.0	0.0	Timezone		Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
3: Shrey Sasha	False	False	pallets	quart	DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).	https://github.com/pallets/quart/issues/305	https://github.com/pallets/quart/pull/306	2715.0	0.8177812689	3499.0	1.0	0.0	0.0	Timezone		Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
5: Peter Sasha	False	False	vacanza	python-holidays	US Holidays Error: dictionary changed during iteration when passing years to holidays.US constructor	https://github.com/vacanza/python-holidays/issues/569	https://github.com/vacanza/python-holidays/pull/586	1375.0	0.7988695388	18315.0	1.0	0.0	0.0	Date		Replacing/Rounding Datetime Components			Medium	Medium	High	Medium	Unintuitive Arithmetic		
2: Shrey Serena	False	True	BeanieODM	beanie	Custom encoders encode `datetime.datetime` as `datetime.date` encoder.	https://github.com/BeanieODM/beanie/issues/271	https://github.com/BeanieODM/beanie/pull/164	1857.0	0.7894631654	2002.0	1.0	0.0	0.0	Date		Datetime Construction			Low	Medium	Medium	Low			
