Owner,Project,Title,Stars,TF-IDFs,Size,Datetime,Arrow,Pendulum,Description,Category 1,Category 2,Affected Computation 1,Affected Computation 2,Affected Computation 3,Obscurity,Impact/Severity,# LOC,Logic Needed,Comments,BPST1,BPST2,BPST3
python-poetry,tomlkit,datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12,643.0,1.312623494,1001.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,1.0,1.0,,Outdated/Deprecated APIs,,
frictionlessdata,frictionless-py,SpssParser ignores timezones,683.0,1.270076663,1279.0,1.0,0.0,0.0,,Timezone,String Representation,Datetime Construction,String Parsing/Formatting (data),,1.0,2.0,2.0,3.0,,Dropping Timezones,,
sdispater,pendulum,Deepcopy of Month-based Duration produces a different duration,6109.0,1.191295129,1014.0,1.0,0.0,1.0,,Duration,Date,Delta Construction,,,2.0,2.0,2.0,1.0,,Unintuitive Arithmetic,,
googleapis,python-storage,`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcnow() is deprecated`,420.0,1.17635061,10349.0,1.0,0.0,0.0,,Deprecated,,Datetime Comparison,,,1.0,1.0,1.0,1.0,,Outdated/Deprecated APIs,,
googleapis,python-logging,`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcfromtimestamp() is deprecated`,119.0,1.167279177,2673.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,1.0,1.0,,Outdated/Deprecated APIs,,
pydantic,pydantic-extra-types,Pendulum `DateTime` wrapper losing `tz` and `timezone` values in 2.8.1,153.0,1.100985305,1193.0,1.0,0.0,1.0,,Timezone,,Library Conversions,Datetime Arithmetic,,2.0,1.0,1.0,1.0,,Using Naïve Datetime Incorrectly,Dropping Timezones,
moinwiki,moin,datetime.utcfromtimestamp() and .utcnow() are deprecated,287.0,1.08921495,1081.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
feast-dev,feast,Retire/update the datetime.utcnow() function,5330.0,1.03551409,1124.0,1.0,0.0,0.0,,Deprecated,,Delta Construction,Datetime Construction,Delta Arithmetic,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
sdispater,pendulum,Default timezone isn't utc?,6109.0,1.024292861,3201.0,1.0,0.0,1.0,,Deprecated,,Datetime Construction,,,1.0,1.0,1.0,1.0,"original issue isn't valid, but utcnow was an issue that was fixed in the fix",Outdated/Deprecated APIs,,
googleapis,google-cloud-python,gcloud.datastore.helpers.get_value_from_protobuf() returns naive datetimes,4704.0,1.016552945,1231.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),Datetime Construction,,2.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,Dropping Timezones,
mverleg,pyjson_tricks,Invalid datetime decoding,154.0,0.9651697541,1250.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,2.0,2.0,2.0,1.0,INTERESTING,Incorrect API usage,,
