Rater	Training?	Testing?	Set 3?	Skipped?	False pos?	Owner	Project	Title	Link	Fix Link	Stars	TF-IDFs	Size	Datetime	Arrow	Pendulum	Description	Category 1	Category 2	Affected Computation 1	Affected Computation 2	Affected Computation 3	Obscurity	Impact/Severity	# LOC	Logic Needed	Comments	BPST1	BPST2	BPST3	Make Benchmark?	Associated Benchmark
	TRUE	FALSE	FALSE	FALSE	FALSE	python-poetry	tomlkit	datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12	https://github.com/python-poetry/tomlkit/issues/297	https://github.com/python-poetry/tomlkit/commit/3a99b5ba982ae80d7f5ba93805165780c8e326d8	643	1.312623494	1001	1	0	0		Timezone		Datetime Construction			Low	Low	Low	Low		Outdated/Deprecated APIs			Yes	
5: Peter Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	frictionlessdata	frictionless-py	SpssParser ignores timezones	https://github.com/frictionlessdata/frictionless-py/issues/1212	https://github.com/frictionlessdata/frictionless-py/pull/1431	683	1.270076663	1279	1	0	0		Timezone		Datetime Construction	Replacing/Rounding Datetime Components	Library Conversions	Low	Medium	Medium	Medium		Using Naïve Datetime Incorrectly			No	
	TRUE	FALSE	FALSE	FALSE	FALSE	sdispater	pendulum	Deepcopy of Month-based Duration produces a different duration	https://github.com/sdispater/pendulum/issues/714	https://github.com/sdispater/pendulum/commit/9590c651c5c5ff3bec064abc7aaf270c0c6f5cee	6109	1.191295129	1014	1	0	1																
2: Shrey Serena	FALSE	TRUE	FALSE	FALSE	FALSE	googleapis	python-storage	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcnow() is deprecated`	https://github.com/googleapis/python-storage/issues/1194	https://github.com/googleapis/python-storage/commit/dbe4bb1e7b80720943197410566b8bd28e2c1b4e	420	1.17635061	10349	1	0	0		Timezone		Datetime Construction			Low	Low	Low	Low		Outdated/Deprecated APIs			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	googleapis	python-logging	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcfromtimestamp() is deprecated`	https://github.com/googleapis/python-logging/issues/818	https://github.com/googleapis/python-logging/pull/824	119	1.167279177	2673	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	pydantic	pydantic-extra-types	Pendulum `DateTime` wrapper losing `tz` and `timezone` values in 2.8.1	https://github.com/pydantic/pydantic-extra-types/issues/188	https://github.com/PrefectHQ/prefect/commit/641c025e5ba5f76df8632226cc81ebadd67317b1	153	1.100985305	1193	1	0	1																
	TRUE	FALSE	FALSE	FALSE	FALSE	moinwiki	moin	datetime.utcfromtimestamp() and .utcnow() are deprecated	https://github.com/moinwiki/moin/issues/1675	https://github.com/moinwiki/moin/pull/1677	287	1.08921495	1081	1	0	0		Timezone		Datetime Construction			Low	Low	Medium	Low		Outdated/Deprecated APIs			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	feast-dev	feast	Retire/update the datetime.utcnow() function	https://github.com/feast-dev/feast/issues/4240	https://github.com/feast-dev/feast/pull/4305	5330	1.03551409	1124	1	0	0		Timezone		Delta Construction	Datetime Construction	Delta Arithmetic	Low	Low	Medium	Low		Outdated/Deprecated APIs			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	sdispater	pendulum	Default timezone isn't utc?	https://github.com/sdispater/pendulum/issues/171	https://github.com/sdispater/pendulum/pull/172	6109	1.024292861	3201	1	0	1																
	TRUE	FALSE	FALSE	FALSE	FALSE	googleapis	google-cloud-python	gcloud.datastore.helpers.get_value_from_protobuf() returns naive datetimes	https://github.com/googleapis/google-cloud-python/issues/131	https://github.com/googleapis/google-cloud-python/pull/181	4704	1.016552945	1231	1	0	0																
