repoName,title,url,lockReason,labels
googleapis/google-cloud-python,datetime property,https://github.com/googleapis/google-cloud-python/issues/50,,"['type: bug', 'api: datastore', ':rotating_light:', 'triage me']"
googleapis/google-cloud-python,Query with projection on datetime entity doesn't deserialize to datetime,https://github.com/googleapis/google-cloud-python/issues/1770,,"['type: bug', 'api: datastore']"
googleapis/google-cloud-python,BigQuery: Parsing fails if timestamps or datetimes include microsecond part,https://github.com/googleapis/google-cloud-python/issues/3870,,"['type: bug', 'api: bigquery']"
googleapis/google-cloud-python,BigQuery: DATETIME columns invalid when uploaded with `load_table_from_dataframe`,https://github.com/googleapis/google-cloud-python/issues/9996,,"['type: bug', 'api: bigquery', 'backend', 'priority: p2']"
spack/spack,Specifying package version in packages.yaml throws datetime.date schema error,https://github.com/spack/spack/issues/10283,,['bug']
nylas/sync-engine,sync-engine wrongly requires entire system timezone to be UTC,https://github.com/nylas/sync-engine/issues/285,,[]
pynamodb/PynamoDB,_fast_parse_utc_date_string fails on pre year 1000,https://github.com/pynamodb/PynamoDB/issues/899,,['bug']
evennia/evennia,[BUG] `TIME_ZONE`/`USE_TZ` settings don't appear to work correctly,https://github.com/evennia/evennia/issues/3522,,['bug']
evennia/evennia,[BUG] validatorfuncs.datetime() takes AccountDB argument but doesn't use it,https://github.com/evennia/evennia/issues/1971,,['bug']
evennia/evennia,[BUG] validatorfuncs.duration() returns inaccurate datetime.timedelta,https://github.com/evennia/evennia/issues/1970,,['bug']
wagtail/django-modelcluster,Serialised datetimes are not timezone aware,https://github.com/wagtail/django-modelcluster/issues/10,,['bug']
SFDO-Tooling/CumulusCI,Push upgrade tasks' start_time option compares the wrong datetime,https://github.com/SFDO-Tooling/CumulusCI/issues/2808,,['bug']
SFDO-Tooling/CumulusCI,Salesforce API expects UTC for dateTime fields,https://github.com/SFDO-Tooling/CumulusCI/issues/298,,['bug']
SFDO-Tooling/CumulusCI,Typo using datetime utcnow,https://github.com/SFDO-Tooling/CumulusCI/issues/293,,['bug']
xlwings/xlwings,FutureWarning: to_datetime is deprecated,https://github.com/xlwings/xlwings/issues/664,,['bug']
xlwings/xlwings,"Various issues with  timezone aware datetime objects (datetime, numpy, pandas)",https://github.com/xlwings/xlwings/issues/195,,['bug']
xlwings/xlwings,"sometimes, datetime objects in lists don't get formatted on Excel (Windows only)",https://github.com/xlwings/xlwings/issues/43,,['wontfix']
wireservice/agate,Over-aggressive datetime inference,https://github.com/wireservice/agate/issues/653,,['bug']
wireservice/agate,DateTime string inferred as Date,https://github.com/wireservice/agate/issues/568,,['bug']
wireservice/agate,Date and DateTime format parsing appears to be broken,https://github.com/wireservice/agate/issues/430,,['bug']
wireservice/agate,"Rendered datetimes do not include T seperator (to_csv, print_csv)",https://github.com/wireservice/agate/issues/427,,['bug']
wireservice/agate,"Table.to_json doesn't support Date, DateTime or TimeDelta",https://github.com/wireservice/agate/issues/376,,['bug']
wireservice/agate,Date and DateTime test methods don't take into account specified format string,https://github.com/wireservice/agate/issues/361,,['bug']
cloudera/impyla,Conversion for datetime.date parameters is wrong,https://github.com/cloudera/impyla/issues/189,,[]
mapillary/mapillary_tools,TypeError: can't compare offset-naive and offset-aware datetimes,https://github.com/mapillary/mapillary_tools/issues/349,,['bug']
