repoName,id,title,url_x,lockReason,timelineCount,labels,fixUrl,fixUrlCount,tf_idf,size,nameWithOwner,owner,name,url_y,description,stars,primaryLanguage,updatedAt,createdAt,issuesCount,forkCount,watchersCount,discussionsCount
custom-components/nordpool,MDU6SXNzdWU1ODk5MTAzMTA=,Drop pendulum,https://github.com/custom-components/nordpool/issues/27,,4,"['bug', 'enhancement']",https://github.com/custom-components/nordpool/commit/e61406158ce36bdb80ea2ff73bab3968836022ff,1,3.912730197379511,15.0,custom-components/nordpool,custom-components,nordpool,https://github.com/custom-components/nordpool,This component allows you to pull in the energy prices into Home-Assistant.,415,Python,2024-06-07T06:11:16Z,2019-08-11T19:16:00Z,254,100,32,18
robocorp/robocorp,I_kwDOJLyW5c594V7l,3rd-party: pendulum,https://github.com/robocorp/robocorp/issues/219,,4,[],https://github.com/robocorp/robocorp/pull/220,1,3.912730197379511,21.0,robocorp/robocorp,robocorp,robocorp,https://github.com/robocorp/robocorp,"Create 🐍 Python AI Actions and 🤖 Automations, and deploy & operate them anywhere",378,Python,2024-06-13T15:45:11Z,2023-03-20T07:35:48Z,177,47,22,4
NCAR/geocat-comp,MDU6SXNzdWU4MTk0MzcyODI=,Implementation of daylight_fao56,https://github.com/NCAR/geocat-comp/issues/116,,2,[],https://github.com/NCAR/geocat-comp/pull/125,1,3.549322596259241,34.0,NCAR/geocat-comp,NCAR,geocat-comp,https://github.com/NCAR/geocat-comp,GeoCAT-comp provides implementations of computational functions for operating on geosciences data. Many of these functions originated in NCL and were translated into Python.,121,Python,2024-06-03T21:38:26Z,2019-07-15T17:44:03Z,265,54,14,4
SamR1/FitTrackee,MDU6SXNzdWUzMjkxNTUwMzc=,Timezone support,https://github.com/SamR1/FitTrackee/issues/11,,13,"['enhancement', 'api', 'client']",https://github.com/SamR1/FitTrackee/commit/fe9104037055f57f95d85cd864ea0e565ca8b876,5,2.973879247865121,18.0,SamR1/FitTrackee,SamR1,FitTrackee,https://github.com/SamR1/FitTrackee,Self-hosted outdoor activity tracker :bicyclist:,627,Python,2024-06-12T14:35:39Z,2017-04-02T18:08:29Z,269,37,18,0
vnpy/vnpy,MDU6SXNzdWU0OTY5NzMzMzE=,宽睿OES接口，市场数据查询时候时间是UTC时间，应该是CTS中国时间,https://github.com/vnpy/vnpy/issues/2106,,4,['enhancement'],https://github.com/vnpy/vnpy/commit/11d94b99025f1f22522108209562e53c3f5fdafe,1,2.6614501779443307,370.0,vnpy/vnpy,vnpy,vnpy,https://github.com/vnpy/vnpy,基于Python的开源量化交易平台开发框架,23787,Python,2024-06-13T14:24:21Z,2015-03-02T03:36:58Z,2046,8467,1353,0
ibis-project/ibis,MDU6SXNzdWU0ODAyMTkwNjk=,ENH: Support Arrow timezone-aware timestamps,https://github.com/ibis-project/ibis/issues/1922,,3,[],https://github.com/ibis-project/ibis/pull/1923,3,2.5186486462029825,111.0,ibis-project/ibis,ibis-project,ibis,https://github.com/ibis-project/ibis,the portable Python dataframe library,4407,Python,2024-06-13T14:31:20Z,2015-04-17T20:43:46Z,2887,543,81,159
gbtami/pychess-variants,MDU6SXNzdWU2ODg3MDAzNTc=,Chat Timestamp,https://github.com/gbtami/pychess-variants/issues/323,,3,['enhancement'],https://github.com/gbtami/pychess-variants/pull/672,2,2.4425391081440986,16.0,gbtami/pychess-variants,gbtami,pychess-variants,https://github.com/gbtami/pychess-variants,Chess variant server ,226,Python,2024-06-11T13:51:45Z,2019-04-29T12:34:26Z,815,112,15,10
freach/udatetime,MDU6SXNzdWUxNjg0NzMxNDI=,udatetime.utcfromtimestamp(timestamp),https://github.com/freach/udatetime/issues/4,,3,['enhancement'],https://github.com/freach/udatetime/commit/b169c2a0ff4858a0a93143ed17b9562ee5dfbb85,1,2.4270240376330965,84.0,freach/udatetime,freach,udatetime,https://github.com/freach/udatetime,Fast RFC3339 compliant Python date-time library,241,Python,2024-05-31T17:07:42Z,2016-07-29T09:18:10Z,28,27,7,0
CyanideCN/PyCINRAD,I_kwDOCEtXpc57VY0g,使用datetime 处理数据时间时最好带上时区信息,https://github.com/CyanideCN/PyCINRAD/issues/101,,6,[],https://github.com/CyanideCN/PyCINRAD/pull/102,3,2.349077758763497,3334.0,CyanideCN/PyCINRAD,CyanideCN,PyCINRAD,https://github.com/CyanideCN/PyCINRAD,Decode CINRAD (China New Generation Weather Radar) data and visualize.,352,Python,2024-06-11T05:36:28Z,2018-06-29T13:52:59Z,73,154,27,1
bluedazzle/wechat_sender,MDU6SXNzdWUyMzMwNjM1MzI=,周期消息 interval 用 datetime.timedetla 设置为 24 小时时返回错误,https://github.com/bluedazzle/wechat_sender/issues/3,,1,[],https://github.com/bluedazzle/wechat_sender/commit/21d861735509153d6b34408157911c25a5d7018b,1,2.1022296371153804,197.0,bluedazzle/wechat_sender,bluedazzle,wechat_sender,https://github.com/bluedazzle/wechat_sender,随时随地发送消息到微信,468,Python,2024-06-07T08:47:21Z,2017-05-10T11:08:42Z,20,96,38,0
