owner_x	name_x	title	url_x	fixUrl	stars	tf_idf	size	grep_results0	grep_results1	grep_results2
CyanideCN	PyCINRAD	使用datetime 处理数据时间时最好带上时区信息	https://github.com/CyanideCN/PyCINRAD/issues/101	https://github.com/CyanideCN/PyCINRAD/pull/102	352	2.349077758763497	3334.0	1	0	0
python-poetry	tomlkit	datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12	https://github.com/python-poetry/tomlkit/issues/297	https://github.com/python-poetry/tomlkit/commit/3a99b5ba982ae80d7f5ba93805165780c8e326d8	643	1.3126234940215151	1001.0	1	0	0
frictionlessdata	frictionless-py	SpssParser ignores timezones	https://github.com/frictionlessdata/frictionless-py/issues/1212	https://github.com/frictionlessdata/frictionless-py/pull/1431	683	1.2700766628995424	1279.0	1	0	0
sdispater	pendulum	Deepcopy of Month-based Duration produces a different duration	https://github.com/sdispater/pendulum/issues/714	https://github.com/sdispater/pendulum/commit/9590c651c5c5ff3bec064abc7aaf270c0c6f5cee	6109	1.1912951285318687	1014.0	1	0	1
googleapis	python-storage	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcnow() is deprecated`	https://github.com/googleapis/python-storage/issues/1194	https://github.com/googleapis/python-storage/commit/dbe4bb1e7b80720943197410566b8bd28e2c1b4e	420	1.1763506097819318	10349.0	1	0	0
googleapis	python-logging	`DeprecationWarning` warning in build log for python 3.12 `datetime.datetime.utcfromtimestamp() is deprecated`	https://github.com/googleapis/python-logging/issues/818	https://github.com/googleapis/python-logging/pull/824	119	1.1672791768126645	2673.0	1	0	0
pydantic	pydantic-extra-types	Pendulum `DateTime` wrapper losing `tz` and `timezone` values in 2.8.1	https://github.com/pydantic/pydantic-extra-types/issues/188	https://github.com/PrefectHQ/prefect/commit/641c025e5ba5f76df8632226cc81ebadd67317b1	153	1.1009853047139333	1193.0	1	0	1
moinwiki	moin	datetime.utcfromtimestamp() and .utcnow() are deprecated	https://github.com/moinwiki/moin/issues/1675	https://github.com/moinwiki/moin/pull/1677	287	1.0892149495847054	1081.0	1	0	0
feast-dev	feast	Retire/update the datetime.utcnow() function	https://github.com/feast-dev/feast/issues/4240	https://github.com/feast-dev/feast/pull/4305	5330	1.0355140897280846	1124.0	1	0	0
Alexey-T	CudaText	How to [un]fold in control 'editor' w/o mouse?	https://github.com/Alexey-T/CudaText/issues/1491	https://github.com/Alexey-T/CudaText/commit/c69fe76724c17ddc516f0daaed9dc33213f9e5f6	2371	1.0271533024497117	3446.0	1	0	0
sdispater	pendulum	Default timezone isn't utc?	https://github.com/sdispater/pendulum/issues/171	https://github.com/sdispater/pendulum/pull/172	6109	1.0242928607972588	3201.0	1	0	1
googleapis	google-cloud-python	gcloud.datastore.helpers.get_value_from_protobuf() returns naive datetimes	https://github.com/googleapis/google-cloud-python/issues/131	https://github.com/googleapis/google-cloud-python/pull/181	4704	1.0165529447464017	1231.0	1	0	0
sdispater	pendulum	DateTime.add(duration)	https://github.com/sdispater/pendulum/issues/323	https://github.com/gridsingularity/gsy-e/pull/1463	6109	0.9960230504632686	1694.0	1	0	1
mverleg	pyjson_tricks	Invalid datetime decoding	https://github.com/mverleg/pyjson_tricks/issues/41	https://github.com/mverleg/pyjson_tricks/commit/3fda9791a8bb39f966ae4e88e9e9555f2646917e	154	0.96516975409159	1250.0	1	0	0
Bears-R-Us	arkouda	datetime columns in dataframe display bug	https://github.com/Bears-R-Us/arkouda/issues/2596	https://github.com/stress-tess/arkouda/commit/e7eb559ba6de05c33859804b552bc016e964e76c	228	0.9473247674243096	3315.0	1	0	0
dateutil	dateutil	last day of the month is wrong??	https://github.com/dateutil/dateutil/issues/1167	https://github.com/dateutil/dateutil/pull/1170	2266	0.9356910032162437	1093.0	1	0	0
dateutil	dateutil	last day of the month is wrong??	https://github.com/dateutil/dateutil/issues/1167	https://github.com/dateutil/dateutil/pull/1168	2266	0.9356910032162437	1093.0	1	0	0
python	typeshed	Invalid typing for datetime.timedelta.__init__?	https://github.com/python/typeshed/issues/5529	https://github.com/python/typeshed/pull/5532	4139	0.9213960365109276	1377.0	1	0	0
python	typeshed	tzinfo vs. timestamp type for timezone.utc	https://github.com/python/typeshed/issues/567	https://github.com/python/typeshed/pull/568	4139	0.9126549311097036	1237.0	1	0	0
vacanza	python-holidays	Value Error when setting years	https://github.com/vacanza/python-holidays/issues/527	https://github.com/vacanza/python-holidays/pull/528	1375	0.9049516978746172	9358.0	1	0	0
jupyter-server	jupyter_server	datetime.datetime.utcnow() and datetime.datetime.utcfromtimestamp() are deprecated in Python 3.12	https://github.com/jupyter-server/jupyter_server/issues/1296	https://github.com/jupyter-server/jupyter_server/pull/1353	461	0.8996655221665097	3303.0	1	0	0
vacanza	python-holidays	Mississippi Holiday - Confederate Memorial Day - Calculation incorrect	https://github.com/vacanza/python-holidays/issues/1774	https://github.com/vacanza/python-holidays/pull/1775	1375	0.8971165924625785	1326.0	1	0	0
seandstewart	typical	transmute from datetime.datetime -> pendulum.Datetime not handling tzinfo right	https://github.com/seandstewart/typical/issues/91	https://github.com/seandstewart/typical/pull/92	183	0.8828307450687762	1005.0	1	0	1
mverleg	pyjson_tricks	Ambiguous timezone info in datetime	https://github.com/mverleg/pyjson_tricks/issues/89	https://github.com/mverleg/pyjson_tricks/commit/b3e0b9e682a81b6d6e327cd114a85e70d697441c	154	0.870816751547987	1400.0	1	0	0
ibis-project	ibis	ENH: Support timestamp, date, and time arithmetic	https://github.com/ibis-project/ibis/issues/1228	https://github.com/ibis-project/ibis/pull/1243	4407	0.8581796188277477	3227.0	1	0	0
vacanza	python-holidays	Use `timedelta` for days offset calculation	https://github.com/vacanza/python-holidays/issues/891	https://github.com/vacanza/python-holidays/pull/900	1375	0.8571746672278707	1110.0	1	0	0
freach	udatetime	Timestamp conversion does not handle daylight time	https://github.com/freach/udatetime/issues/10	https://github.com/SkyTruth/udatetime/commit/a72ff2e3fa8af3ed86364001058ae1b8a2602acd	241	0.8538663707709149	1669.0	1	0	0
timvink	mkdocs-git-revision-date-localized-plugin	DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/issues/121	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/commit/4bf713aaa410ce8a79572545129656b59cc8f5bc	177	0.835457538581013	1285.0	1	0	0
