repoName,id,title,url,lockReason,timelineCount,labels,fixUrl,fixUrlCount,tf_idf
googleapis/google-api-python-client,MDU6SXNzdWU2ODMyMjQyODY=,HttpLib2 Missing Header Error When Timezone Is Incorrect,https://github.com/googleapis/google-api-python-client/issues/1006,,35,"['type: bug', 'priority: p2', ':rotating_light:']",https://github.com/ostrokach/uniparc_xml_parser/commit/7aed9d82c2a72ec1bad748a449a2b8418dbe3980,1,0.016460250973101356
googleapis/google-cloud-python,MDU6SXNzdWUyODIwMzA5OA==,datetime property,https://github.com/googleapis/google-cloud-python/issues/50,,97,"['type: bug', 'api: datastore', ':rotating_light:', 'triage me']",https://github.com/jgeewax/gcloud-python/commit/f6979f5d099c9e54695df4c86614595eb6f50041,88,0.05269390281611307
googleapis/google-cloud-python,MDU6SXNzdWU2NzcwNTMwMw==,Unify conversion of datetime <--> timestamp strings,https://github.com/googleapis/google-cloud-python/issues/818,,9,"['api: storage', 'api: pubsub']",https://github.com/googleapis/google-cloud-python/pull/816,4,0.0
googleapis/google-cloud-python,MDU6SXNzdWUxNTAxNzYzNDU=,Review the datetime helpers in gcloud._helpers.,https://github.com/googleapis/google-cloud-python/issues/1732,,20,"['api: core', 'priority: p2']",https://github.com/googleapis/google-cloud-python/pull/1691,1,0.28680899833000756
googleapis/google-cloud-python,MDU6SXNzdWUxMDc1OTUxMjg=,Consolidate parsing of RFC 3339 datetime strings,https://github.com/googleapis/google-cloud-python/issues/1146,,7,[],https://github.com/googleapis/google-cloud-python/pull/1145,5,0.0
googleapis/google-cloud-python,MDU6SXNzdWU0NjQ1ODczMQ==,DISCUSSION: Should deserialized timestamps have a timezone?,https://github.com/googleapis/google-cloud-python/issues/279,,62,"['type: question', 'api: datastore']",https://github.com/dhermes/google-cloud-python/commit/b1b2aec3af0959a85ab1a3015e8c82468698120b,48,0.40052915787980525
googleapis/google-cloud-python,MDU6SXNzdWUyOTQ0NDUyMQ==,attribute 'timedelta'  Datetime property when performance a Query,https://github.com/googleapis/google-cloud-python/issues/61,,122,"['api: datastore', ':rotating_light:', 'triage me']",https://github.com/jgeewax/gcloud-python/commit/755a94d83e22129ac6172ea9d3c95b845b7bb215,95,0.0
googleapis/google-cloud-python,MDU6SXNzdWUyNTI3MzM0NzQ=,BigQuery: Parsing fails if timestamps or datetimes include microsecond part,https://github.com/googleapis/google-cloud-python/issues/3870,,30,"['type: bug', 'api: bigquery']",https://github.com/googleapis/google-cloud-python/pull/3804,4,0.04086462944654881
googleapis/google-cloud-python,MDU6SXNzdWU0Mjg5MzAwNQ==,gcloud.datastore.helpers.get_value_from_protobuf() returns naive datetimes,https://github.com/googleapis/google-cloud-python/issues/131,,94,"['type: question', 'api: datastore']",https://github.com/googleapis/google-cloud-python/pull/181,86,0.0
googleapis/google-cloud-python,MDU6SXNzdWU1Mzk4NDM5OTg=,BigQuery: DATETIME columns invalid when uploaded with `load_table_from_dataframe`,https://github.com/googleapis/google-cloud-python/issues/9996,,43,"['type: bug', 'api: bigquery', 'backend', 'priority: p2']",https://github.com/googleapis/google-cloud-python/pull/10028,2,0.23189016743793772
googleapis/google-cloud-python,MDU6SXNzdWUyMDI1MTM0Nzk=,'Table.insert_data' does not support Datetime values,https://github.com/googleapis/google-cloud-python/issues/2957,,30,"['type: question', 'api: bigquery', 'priority: p1']",https://github.com/googleapis/google-cloud-python/pull/3426,4,0.1084568707656943
googleapis/google-cloud-python,MDU6SXNzdWU5ODA1NDkyMw==,Move all datetime handling into a shared core module,https://github.com/googleapis/google-cloud-python/issues/1024,,11,['api: core'],https://github.com/googleapis/google-cloud-python/pull/1044,3,0.0
googleapis/google-cloud-python,MDU6SXNzdWU0NjQ1NzU4OA==,Support datetime.date type as valid timestamp in datastore,https://github.com/googleapis/google-cloud-python/issues/278,,56,"['type: feature request', 'api: datastore']",https://github.com/dhermes/google-cloud-python/commit/b1b2aec3af0959a85ab1a3015e8c82468698120b,46,0.3917900751570872
evennia/evennia,MDU6SXNzdWU2NzY1MjIxMjM=,[BUG] The time of MudInfo is not affected by the timezone.,https://github.com/evennia/evennia/issues/2182,,2,['bug'],https://github.com/evennia/evennia/commit/29b381fbe67452a51675fbf1bf1a42c67e37b27c,1,0.0
evennia/evennia,MDU6SXNzdWU1MDk1MjM4NTM=,[BUG] validatorfuncs.datetime() takes AccountDB argument but doesn't use it,https://github.com/evennia/evennia/issues/1971,,4,['bug'],https://github.com/evennia/evennia/pull/1967,1,0.0
evennia/evennia,MDU6SXNzdWU1MDk1MjI5NDE=,[BUG] validatorfuncs.duration() returns inaccurate datetime.timedelta,https://github.com/evennia/evennia/issues/1970,,5,['bug'],https://github.com/evennia/evennia/pull/1967,4,0.0
maxtepkeev/python-redmine,MDU6SXNzdWU4MzUwMDg2MzQ=,the updated_on value is missing the tzinfo (naive datetime object),https://github.com/maxtepkeev/python-redmine/issues/271,,8,['feature'],https://github.com/maxtepkeev/python-redmine/commit/517af437886beae1fa47eea8b6aa1a5b18f21551,1,0.0
wagtail/django-modelcluster,MDU6SXNzdWU0MDM1NDA2OQ==,Serialised datetimes are not timezone aware,https://github.com/wagtail/django-modelcluster/issues/10,,7,['bug'],https://github.com/wagtail/wagtail/pull/494,3,0.0
SFDO-Tooling/CumulusCI,MDU6SXNzdWU5NzQwNTMxMTQ=,Push upgrade tasks' start_time option compares the wrong datetime,https://github.com/SFDO-Tooling/CumulusCI/issues/2808,,6,['bug'],https://github.com/SFDO-Tooling/CumulusCI/pull/2814,2,0.0
SFDO-Tooling/CumulusCI,MDU6SXNzdWUyMTkzNDU2NDk=,Typo using datetime utcnow,https://github.com/SFDO-Tooling/CumulusCI/issues/293,,5,['bug'],https://github.com/SFDO-Tooling/CumulusCI/pull/295,2,1.498512662448566
SFDO-Tooling/CumulusCI,MDU6SXNzdWUyMTk3MDc4MzE=,Salesforce API expects UTC for dateTime fields,https://github.com/SFDO-Tooling/CumulusCI/issues/298,,4,['bug'],https://github.com/SFDO-Tooling/CumulusCI/pull/299,2,0.0
