repoName,title,url,lockReason,labels
googleapis/google-cloud-python,Must add UTC time offset to `Query`s in order to get any results,https://github.com/googleapis/google-cloud-python/issues/11096,,"['type: bug', 'api: monitoring', 'priority: p2']"
xlwings/xlwings,Mac: datetime assert microseconds=0,https://github.com/xlwings/xlwings/issues/121,,['bug']
getting-things-gnome/gtg,Malformed CalDAV timezone/dates can cause an AttributeError: 'datetime.date' object has no attribute 'tzinfo',https://github.com/getting-things-gnome/gtg/issues/923,,"['bug', 'plugins']"
pywemo/pywemo,util.ExtMetaInfo uses non-timezone-aware datetime,https://github.com/pywemo/pywemo/issues/581,,['bug']
holoviz/holoviews,Stacked bars not rendered correctly with datetime axis,https://github.com/holoviz/holoviews/issues/6288,,['type: bug']
holoviz/holoviews,Tz aware datetime values displayed in UTC time on x axis of the plot,https://github.com/holoviz/holoviews/issues/3893,,['type: bug']
holoviz/holoviews,Automatic datetime formater for default HoverTool,https://github.com/holoviz/holoviews/issues/4425,,['type: bug']
holoviz/holoviews,Ibis Timestamp not displaying as datetime axis,https://github.com/holoviz/holoviews/issues/5521,,['type: bug']
holoviz/holoviews,Polygons not allowing datetime values or X axis,https://github.com/holoviz/holoviews/issues/3887,,['type: bug']
holoviz/holoviews,Image with datetime index raises TypeError with matplotlib backend,https://github.com/holoviz/holoviews/issues/4629,,"['type: bug', 'tag: backend: mpl']"
holoviz/holoviews,Timezone-aware data is plotted incorrectly when using `rasterize` (plotted as though axis were UTC),https://github.com/holoviz/holoviews/issues/5127,,['type: bug']
pwnlandia/mhn,logstash mhn.conf dst_ip should be dest_ip,https://github.com/pwnlandia/mhn/issues/250,,['bug']
yahoo-finance/yahoo-finance,get_trade_datetime() for Share and refresh --- wrong UTC times,https://github.com/yahoo-finance/yahoo-finance/issues/53,,['bug']
Yelp/bravado,Passing datetime as request body throws JSON serializable error.,https://github.com/Yelp/bravado/issues/191,,"['bug', 'swaggerpy12']"
robotframework/robotframework,"DateTime suffers from ""Year 2038"" problem with epoch conversion on 32 bit systems",https://github.com/robotframework/robotframework/issues/4244,,"['bug', 'priority: medium']"
earthgecko/skyline,Apply time zone fix to skyline.js,https://github.com/earthgecko/skyline/issues/18,,['enhancement']
pabigot/pyxb,TypeError: can't compare offset-naive and offset-aware datetimes,https://github.com/pabigot/pyxb/issues/108,,['bug']
OxWearables/biobankAccelerometerAnalysis,GT3X expected time zone behaviour,https://github.com/OxWearables/biobankAccelerometerAnalysis/issues/198,,"['bug', 'help wanted']"
OxWearables/biobankAccelerometerAnalysis,GENEActive not parsing the tz/dst correctly,https://github.com/OxWearables/biobankAccelerometerAnalysis/issues/203,,"['bug', 'priority']"
gunthercox/ChatterBot,bug in datetime parsing,https://github.com/gunthercox/ChatterBot/issues/651,,"['bug', 'help wanted']"
vaexio/vaex,Cannot retrieve the groups on datetime column after binning,https://github.com/vaexio/vaex/issues/1303,,['bug']
google/transitfeed,No warning on missing DST adjustment,https://github.com/google/transitfeed/issues/228,,"['bug', 'imported', 'App-FeedValidator', 'Difficulty-Hard']"
boto/boto3,Boto3 UTC DeprecationWarnings,https://github.com/boto/boto3/issues/3889,,"['bug', 'p2']"
Yelp/elastalert,Matches containing datetimes contain strings after aggregation,https://github.com/Yelp/elastalert/issues/1262,,"['bug', 'enhancement']"
dateutil/dateutil,Feature request: support specifiying time zone by full name,https://github.com/dateutil/dateutil/issues/93,,"['bug', 'parser', 'time zones']"
dateutil/dateutil,dst() value not correct in America/Iqaluit during EWT / EPT,https://github.com/dateutil/dateutil/issues/1050,,"['bug', 'time zones']"
dateutil/dateutil,datetime exception while parsing unambiguous string,https://github.com/dateutil/dateutil/issues/487,,"['bug', 'parser']"
dateutil/dateutil,_naive_is_dst results in exception for negative epoch dates on windows,https://github.com/dateutil/dateutil/issues/434,,"['bug', 'time zones']"
dateutil/dateutil,Equality in folded datetimes is inconsistent pre- and post-495,https://github.com/dateutil/dateutil/issues/344,,"['bug', 'time zones', 'high-difficulty']"
dateutil/dateutil,No exception raised when parsing datetime string with bogus year,https://github.com/dateutil/dateutil/issues/640,,"['bug', 'parser']"
codalab/codalab-worksheets,Support time zones consistently and comprehensively,https://github.com/codalab/codalab-worksheets/issues/542,,"['bug', 'backend', 'p3']"
dask/dask,dataframe.read_sql_query does not work with datetime index,https://github.com/dask/dask/issues/9383,,"['dataframe', 'needs attention', 'bug']"
dask/dask,"Some datetime-properties (e.g., `tz`, `freq`, `freqstr`) not working",https://github.com/dask/dask/issues/9123,,"['dataframe', 'needs attention', 'bug']"
dask/dask,`.dt.tz` method fails on a timezone-aware datetime column,https://github.com/dask/dask/issues/9007,,"['dataframe', 'bug']"
aio-libs/aiomysql,DateTime with milliseconds,https://github.com/aio-libs/aiomysql/issues/389,,['bug']
